id,name,description_orig,description
1,21工房天然手工涼麵（酒泉店,"21工房天然手工涼麵（酒泉店，103 臺灣 大同臺北 酒泉街10巷25號，評分 4.0 ，菜系 日式料理, 亞洲料理 餐點 午餐, 晚餐，","21 工房 天然 手工 涼 麵 （ 酒泉 店 ， 103   臺 灣   大同 臺 北   酒泉街 10 巷 25 號 ， 評分   4.0   ， 菜系   日式 料理 ,   亞洲 料理   餐點   午餐 ,   晚餐 ，"
2,Smith & Hsu,"Smith & Hsu，臺灣 中山區臺北 No. 21, Sec. 1, Nanjing E. Rd., Zhongshan Dist，評分 4.5 ，菜系 咖啡廳，","Smith   &   Hsu ， 臺 灣   中山 區 臺 北   No .   21 ,   Sec .   1 ,   Nanjing   E .   Rd . ,   Zhongshan   Dist ， 評分   4.5   ， 菜系   咖啡 廳 ，"
3,Shi Lin Wen Zhou Wenton,"Shi Lin Wen Zhou Wenton，臺灣 士林臺北 No. 6, Danan Rd., Shilin Dist，評分 3.0 ，，","Shi   Lin   Wen   Zhou   Wenton ， 臺 灣   士林 臺 北   No .   6 ,   Danan   Rd . ,   Shilin   Dist ， 評分   3.0   ， ，"
4,Shiyuan Hotpot,"Shiyuan Hotpot，臺灣 士林臺北 No. 110, Dexing W. Rd., Shilin Dist，評分 3.0 ，菜系 亞洲料理, 台灣小吃/台菜 餐點 午餐, 晚餐，","Shiyuan   Hotpot ， 臺 灣   士林 臺 北   No .   110 ,   Dexing   W .   Rd . ,   Shilin   Dist ， 評分   3.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜   餐點   午餐 ,   晚餐 ，"
5,Xiao Li Sichuan Dishes,"Xiao Li Sichuan Dishes，臺灣 淡水新北 No. 40, Sec. 2, Shuiyuan St., Tamsui Dist 2f，評分 4.5 ，菜系 中式料理, 亞洲料理, 台灣小吃/台菜，","Xiao   Li   Sichuan   Dishes ， 臺 灣   淡水 新北   No .   40 ,   Sec .   2 ,   Shuiyuan   St . ,   Tamsui   Dist   2f ， 評分   4.5   ， 菜系   中式 料理 ,   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
6,Wo Jia Shaved Ice Mountain,"Wo Jia Shaved Ice Mountain，臺灣 士林臺北 No. 16, Anping St., Shilin Dist，評分 5.0 ，，","Wo   Jia   Shaved   Ice   Mountain ， 臺 灣   士林 臺 北   No .   16 ,   Anping   St . ,   Shilin   Dist ， 評分   5.0   ， ，"
7,Mingdu Sucai,"Mingdu Sucai，臺灣 士林臺北 No.148, Sec. 4, Chongqing N. Rd., Shilin Dist.,，評分 5.0 ，菜系 中式料理，","Mingdu   Sucai ， 臺 灣   士林 臺 北   No.148 ,   Sec .   4 ,   Chongqing   N .   Rd . ,   Shilin   Dist . , ， 評分   5.0   ， 菜系   中式 料理 ，"
8,San Fu Spare Rib,"San Fu Spare Rib，臺灣 士林臺北 No. 6, Huarong St., Shilin Dist，評分 4.0 ，菜系 亞洲料理, 台灣小吃/台菜，","San   Fu   Spare   Rib ， 臺 灣   士林 臺 北   No .   6 ,   Huarong   St . ,   Shilin   Dist ， 評分   4.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
9,Zhu Feng Xuan Cafe,"Zhu Feng Xuan Cafe，臺灣 士林臺北 No. 18, Ln. 235, Zhongzheng Rd., Shilin Dist，評分 5.0 ，菜系 咖啡廳，","Zhu   Feng   Xuan   Cafe ， 臺 灣   士林 臺 北   No .   18 ,   Ln .   235 ,   Zhongzheng   Rd . ,   Shilin   Dist ， 評分   5.0   ， 菜系   咖啡 廳 ，"
10,高記(永康店),"高記(永康店)，106 臺灣 大安臺北 永康街5號，評分 4.0 ，菜系 中式料理, 亞洲料理, 台灣小吃/台菜 特別飲食限制 提供素食選擇，","高記 ( 永康 店 ) ， 106   臺 灣   大安 臺 北   永康 街 5 號 ， 評分   4.0   ， 菜系   中式 料理 ,   亞洲 料理 ,   台灣 小吃 / 台菜   特別 飲食 限制   提供 素食 選擇 ，"
11,金春發牛肉店 - 內湖,"金春發牛肉店 - 內湖，臺灣 中山區臺北 中山區北安路833號，評分 4.0 ，菜系 亞洲料理, 台灣小吃/台菜 餐點 午餐, 晚餐，","金春發 牛肉店   -   內湖 ， 臺 灣   中山 區 臺 北   中山 區 北安路 833 號 ， 評分   4.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜   餐點   午餐 ,   晚餐 ，"
12,Caojiatun Suancaibairouhuoguo Taipei,"Caojiatun Suancaibairouhuoguo Taipei，臺灣 士林臺北 No.4, Ln. 38, Tianyu St., Shilin District，評分 4.0 ，菜系 中式料理，","Caojiatun   Suancaibairouhuoguo   Taipei ， 臺 灣   士林 臺 北   No.4 ,   Ln .   38 ,   Tianyu   St . ,   Shilin   District ， 評分   4.0   ， 菜系   中式 料理 ，"
13,富巨集牛肉麵,"富巨集牛肉麵，108 臺灣 萬華臺北 萬華區洛陽街69號，評分 4.0 ，菜系 亞洲料理, 台灣小吃/台菜, 中式料理 餐點 午餐, 晚餐, 早午餐 特色 外帶, 座位, 餐桌服務，","富 巨集 牛肉 麵 ， 108   臺 灣   萬華 臺 北   萬華區 洛陽街 69 號 ， 評分   4.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ,   中式 料理   餐點   午餐 ,   晚餐 ,   早 午餐   特色   外帶 ,   座位 ,   餐桌 服務 ，"
14,Mickey's Shabu-Shabu Restaurant,"Mickey's Shabu-Shabu Restaurant，臺灣 新北 No. 96, Xiwei St., Sanchong Dist，評分 4.0 ，，","Mickey ' s   Shabu - Shabu   Restaurant ， 臺 灣   新北   No .   96 ,   Xiwei   St . ,   Sanchong   Dist ， 評分   4.0   ， ，"
15,"Ya Ge at Mandarin Oriental, Taipei","Ya Ge at Mandarin Oriental, Taipei，10548 臺灣 松山臺北 敦化北路158號，評分 4.5 ，菜系 中式料理, 亞洲料理 特別飲食限制 提供素食選擇, 提供純素選擇，","Ya   Ge   at   Mandarin   Oriental ,   Taipei ， 10548   臺 灣   松山 臺 北   敦化北路 158 號 ， 評分   4.5   ， 菜系   中式 料理 ,   亞洲 料理   特別 飲食 限制   提供 素食 選擇 ,   提供 純素 選擇 ，"
16,麵食士林,麵食士林，112 臺灣 士林臺北 美德街68號，評分 2.5 ，，,麵 食 士林 ， 112   臺 灣   士林 臺 北   美德 街 68 號 ， 評分   2.5   ， ，
17,老店淡水魚丸,"老店淡水魚丸，251 臺灣 淡水新北 淡水區中正路135-2號，評分 4.0 ，價位 NT$10 - NT$150 菜系 亞洲料理, 台灣小吃/台菜 餐點 早午餐, 午餐, 晚餐，","老店 淡水 魚丸 ， 251   臺 灣   淡水 新北   淡水 區 中正路 135 - 2 號 ， 評分   4.0   ， 價位   NT $ 10   -   NT $ 150   菜系   亞洲 料理 ,   台灣 小吃 / 台菜   餐點   早 午餐 ,   午餐 ,   晚餐 ，"
18,愛披薩,"愛披薩，111 臺灣 士林臺北 前港街30號，評分 5.0 ，餐點 午餐, 晚餐，","愛披薩 ， 111   臺 灣   士林 臺 北   前港 街 30 號 ， 評分   5.0   ， 餐點   午餐 ,   晚餐 ，"
19,杉味豆花,杉味豆花，臺灣 大同臺北 大同區延平北路三段58號，評分 4.5 ，菜系 中式料理，,杉味 豆花 ， 臺 灣   大同 臺 北   大同 區 延平北路 三段 58 號 ， 評分   4.5   ， 菜系   中式 料理 ，
20,菓源,"菓源，110 臺灣 臺北 信義區忠孝東路4段553巷52弄9號，評分 4.5 ，價位 NT$200 - NT$1,100 菜系 法式料理, 咖啡廳, 多國料理, 健康料理 餐點 午餐，","菓 源 ， 110   臺 灣   臺 北   信義區 忠孝 東路 4 段 553 巷 52 弄 9 號 ， 評分   4.5   ， 價位   NT $ 200   -   NT $ 1 , 100   菜系   法式 料理 ,   咖啡 廳 ,   多國 料理 ,   健康 料理   餐點   午餐 ，"
21,Sonoma Teppanyaki,"Sonoma Teppanyaki，臺灣 中山區臺北 No. 123, Jingye 3rd Rd., Zhongshan Dist 2f，評分 5.0 ，菜系 美式料理，","Sonoma   Teppanyaki ， 臺 灣   中山 區 臺 北   No .   123 ,   Jingye   3rd   Rd . ,   Zhongshan   Dist   2f ， 評分   5.0   ， 菜系   美式 料理 ，"
22,比奇猴鬆餅坊,"比奇猴鬆餅坊，104 臺灣 三重新北 中山區民生東路2段147巷6弄3號1樓，評分 5.0 ，餐點 午餐, 晚餐，","比奇 猴 鬆 餅 坊 ， 104   臺 灣   三 重新 北   中山 區 民生 東路 2 段 147 巷 6 弄 3 號 1 樓 ， 評分   5.0   ， 餐點   午餐 ,   晚餐 ，"
23,艾莉斯餐酒館,"艾莉斯餐酒館，251 臺灣 淡水新北 No. 117, Dazhong St., Tamsui Dist，評分 4.5 ，菜系 法式料理, 歐式料理, 義式料理, 美式料理 餐點 午餐, 晚餐, 飲料 特色 預訂, 座位, 可供停車, 有兒童椅, 供應酒精飲品, 接受使用美國運通, 接受使用 Mastercard, 接受使用 Visa, 電子付款, 免費無線網路, 餐桌服務, 外帶, 私人包廂, 水果酒和啤酒, 接受使用信用卡，","艾 莉斯 餐酒館 ， 251   臺 灣   淡水 新北   No .   117 ,   Dazhong   St . ,   Tamsui   Dist ， 評分   4.5   ， 菜系   法式 料理 ,   歐式 料理 ,   義式 料理 ,   美式 料理   餐點   午餐 ,   晚餐 ,   飲料   特色   預訂 ,   座位 ,   可供 停車 ,   有兒 童椅 ,   供應 酒精 飲品 ,   接受 使用 美國 運通 ,   接受 使用   Mastercard ,   接受 使用   Visa ,   電子 付款 ,   免費 無線 網路 ,   餐桌 服務 ,   外帶 ,   私人 包廂 ,   水果 酒 和 啤酒 ,   接受 使用 信用卡 ，"
24,Chinese Cuisine,"Chinese Cuisine，臺灣 北投臺北 No. 30, Youya Road Grand View Hotel，評分 4.5 ，，","Chinese   Cuisine ， 臺 灣   北投 臺 北   No .   30 ,   Youya   Road   Grand   View   Hotel ， 評分   4.5   ， ，"
25,Rishitan Riben Liaoli,"Rishitan Riben Liaoli，臺灣 士林臺北 No.410, Wenlin Rd., Shilin Dist.，評分 4.0 ，菜系 日式料理，","Rishitan   Riben   Liaoli ， 臺 灣   士林 臺 北   No.410 ,   Wenlin   Rd . ,   Shilin   Dist . ， 評分   4.0   ， 菜系   日式 料理 ，"
26,豪緣素食館,豪緣素食館，10465 臺灣 中山區臺北 北安路458巷41弄23號，評分 5.0 ，，,豪緣 素食 館 ， 10465   臺 灣   中山 區 臺 北   北安路 458 巷 41 弄 23 號 ， 評分   5.0   ， ，
27,A Hong de Cai Chinese Food,"A Hong de Cai Chinese Food，臺灣 北投臺北 北投區中央北路四段532號，評分 4.0 ，菜系 中式料理, 亞洲料理, 台灣小吃/台菜，","A   Hong   de   Cai   Chinese   Food ， 臺 灣   北投 臺 北   北投 區 中央 北路 四段 532 號 ， 評分   4.0   ， 菜系   中式 料理 ,   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
28,三井餐飲,"三井餐飲，104 臺灣 中山區臺北 明水路604號，評分 4.5 ，價位 NT$692 - NT$2,767 菜系 日式料理, 海鮮, 壽司, 亞洲料理 餐點 午餐, 晚餐, 宵夜，","三井 餐飲 ， 104   臺 灣   中山 區 臺 北   明 水路 604 號 ， 評分   4.5   ， 價位   NT $ 692   -   NT $ 2 , 767   菜系   日式 料理 ,   海鮮 ,   壽司 ,   亞洲 料理   餐點   午餐 ,   晚餐 ,   宵夜 ，"
29,道樂屋臺,道樂屋臺，111 臺灣 士林臺北 士林區基河路112號，評分 4.5 ，菜系 日式料理，,道樂屋 臺 ， 111   臺 灣   士林 臺 北   士林 區基河路 112 號 ， 評分   4.5   ， 菜系   日式 料理 ，
30,北安食堂,"北安食堂，104 臺灣 中山區臺北 北安路608巷4弄8號，評分 5.0 ，價位 NT$100 - NT$1,500 菜系 日式料理，","北安 食堂 ， 104   臺 灣   中山 區 臺 北   北安路 608 巷 4 弄 8 號 ， 評分   5.0   ， 價位   NT $ 100   -   NT $ 1 , 500   菜系   日式 料理 ，"
31,Hotpot Hana - Dazhi,"Hotpot Hana - Dazhi，臺灣 臺北 No. 56, Lequn 3rd Road, Zhongshan District，評分 3.0 ，特色 預訂，","Hotpot   Hana   -   Dazhi ， 臺 灣   臺 北   No .   56 ,   Lequn   3rd   Road ,   Zhongshan   District ， 評分   3.0   ， 特色   預訂 ，"
32,Hong Kong Style Garden Top,"Hong Kong Style Garden Top，103 臺灣 大同臺北 No 250, Section 3, Chengde Road，評分 5.0 ，，","Hong   Kong   Style   Garden   Top ， 103   臺 灣   大同 臺 北   No   250 ,   Section   3 ,   Chengde   Road ， 評分   5.0   ， ，"
33,Hong Ji Shi Teppanyaki,"Hong Ji Shi Teppanyaki，臺灣 士林臺北 No. 81, Danan Rd., Shilin Dist，評分 3.0 ，，","Hong   Ji   Shi   Teppanyaki ， 臺 灣   士林 臺 北   No .   81 ,   Danan   Rd . ,   Shilin   Dist ， 評分   3.0   ， ，"
34,波卡義式私房料理,"波卡義式私房料理，104 臺灣 臺北 建國北路 南京東路南段，評分 4.0 ，餐點 午餐, 晚餐，","波卡義式 私房 料理 ， 104   臺 灣   臺 北   建國 北路   南京 東路 南段 ， 評分   4.0   ， 餐點   午餐 ,   晚餐 ，"
35,西堤牛排 (淡水中山店),西堤牛排 (淡水中山店)，251 臺灣 淡水新北 中山路8號 3樓，評分 4.5 ，菜系 牛排，,西堤 牛排   ( 淡水 中山 店 ) ， 251   臺 灣   淡水 新北   中山路 8 號   3 樓 ， 評分   4.5   ， 菜系   牛排 ，
36,藏壽司 松江南京店,"藏壽司 松江南京店，104 臺灣 中山區臺北 中山區南京東路二段101號 B1，評分 4.0 ，菜系 日式料理, 壽司, 亞洲料理 特別飲食限制 提供純素選擇 餐點 午餐, 晚餐，","藏壽司   松江 南京 店 ， 104   臺 灣   中山 區 臺 北   中山 區 南京 東路 二段 101 號   B1 ， 評分   4.0   ， 菜系   日式 料理 ,   壽司 ,   亞洲 料理   特別 飲食 限制   提供 純素 選擇   餐點   午餐 ,   晚餐 ，"
37,Jiang Ji Pai Gu Fan,"Jiang Ji Pai Gu Fan，114 臺灣 內湖臺北 No. 93-1, Section 1, Neihu Road，評分 4.0 ，菜系 快餐，","Jiang   Ji   Pai   Gu   Fan ， 114   臺 灣   內湖 臺 北   No .   93 - 1 ,   Section   1 ,   Neihu   Road ， 評分   4.0   ， 菜系   快餐 ，"
38,郭元益的家,"郭元益的家，11159 臺灣 士林臺北 文林路 526 號，評分 5.0 ，菜系 義式料理, 美式料理, 咖啡廳, 快餐, 亞洲料理，","郭元益 的 家 ， 11159   臺 灣   士林 臺 北   文林 路   526   號 ， 評分   5.0   ， 菜系   義式 料理 ,   美式 料理 ,   咖啡 廳 ,   快餐 ,   亞洲 料理 ，"
39,Zheng Gu Zao Urn Chicken,"Zheng Gu Zao Urn Chicken，臺灣 淡水新北 No. 605, Sec. 2, Danjin Rd., Tamsui Dist，評分 4.5 ，菜系 海鮮，","Zheng   Gu   Zao   Urn   Chicken ， 臺 灣   淡水 新北   No .   605 ,   Sec .   2 ,   Danjin   Rd . ,   Tamsui   Dist ， 評分   4.5   ， 菜系   海鮮 ，"
40,天仁吃茶趣,"天仁吃茶趣，臺灣 中山區臺北 復興北路152號，評分 4.5 ，菜系 中式料理, 亞洲料理, 台灣小吃/台菜 特別飲食限制 提供素食選擇, 提供純素選擇 餐點 午餐, 晚餐，","天仁 吃 茶趣 ， 臺 灣   中山 區 臺 北   復 興 北路 152 號 ， 評分   4.5   ， 菜系   中式 料理 ,   亞洲 料理 ,   台灣 小吃 / 台菜   特別 飲食 限制   提供 素食 選擇 ,   提供 純素 選擇   餐點   午餐 ,   晚餐 ，"
41,想一下夢想咖啡館,想一下夢想咖啡館，112 臺灣 北投臺北 北投區致遠二路113巷4號，評分 5.0 ，，,想 一下 夢想 咖啡 館 ， 112   臺 灣   北投 臺 北   北投 區致 遠 二路 113 巷 4 號 ， 評分   5.0   ， ，
42,Yu Xu Long Japanese Bbq,"Yu Xu Long Japanese Bbq，臺灣 士林臺北 No. 4, Ln. 41, Tianmu W. Rd., Shilin Dist，評分 5.0 ，菜系 燒烤, 烤肉 餐點 晚餐，","Yu   Xu   Long   Japanese   Bbq ， 臺 灣   士林 臺 北   No .   4 ,   Ln .   41 ,   Tianmu   W .   Rd . ,   Shilin   Dist ， 評分   5.0   ， 菜系   燒烤 ,   烤肉   餐點   晚餐 ，"
43,梅苑小館,梅苑小館，112 臺灣 北投臺北 北投區永興路1段30號，評分 5.0 ，，,梅苑 小館 ， 112   臺 灣   北投 臺 北   北投 區永興路 1 段 30 號 ， 評分   5.0   ， ，
44,Ke Jia Lao Ma Zi De Gu Zao Wei,"Ke Jia Lao Ma Zi De Gu Zao Wei，251 臺灣 淡水新北 No. 294, Zhongzheng Road，評分 4.0 ，菜系 中式料理, 亞洲料理, 台灣小吃/台菜，","Ke   Jia   Lao   Ma   Zi   De   Gu   Zao   Wei ， 251   臺 灣   淡水 新北   No .   294 ,   Zhongzheng   Road ， 評分   4.0   ， 菜系   中式 料理 ,   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
45,Sanma Chouchouguo Yanpingbeilu,"Sanma Chouchouguo Yanpingbeilu，臺灣 士林臺北 No.89, Sec. 6, Yanping N. Rd., Shilin Dist.，評分 3.5 ，菜系 中式料理，","Sanma   Chouchouguo   Yanpingbeilu ， 臺 灣   士林 臺 北   No.89 ,   Sec .   6 ,   Yanping   N .   Rd . ,   Shilin   Dist . ， 評分   3.5   ， 菜系   中式 料理 ，"
46,Ko Tao Great Shabu,"Ko Tao Great Shabu，臺灣 中山區臺北 No. 13, Dazhi St., Zhongshan Dist，評分 3.5 ，菜系 日式料理，","Ko   Tao   Great   Shabu ， 臺 灣   中山 區 臺 北   No .   13 ,   Dazhi   St . ,   Zhongshan   Dist ， 評分   3.5   ， 菜系   日式 料理 ，"
47,詹記麻辣火鍋(南京店),"詹記麻辣火鍋(南京店)，臺灣 中山區臺北 中山區南京東路二段178號B1，評分 4.0 ，特色 外帶, 預訂, 座位，","詹記 麻辣 火鍋 ( 南京 店 ) ， 臺 灣   中山 區 臺 北   中山 區 南京 東路 二段 178 號 B1 ， 評分   4.0   ， 特色   外帶 ,   預訂 ,   座位 ，"
48,態芮,"態芮，10462 臺灣 中山區臺北 樂群三路299號6樓 6樓，評分 4.5 ，價位 NT$2,200 - NT$5,500 菜系 法式料理, 歐式料理, 現代創意料理，","態芮 ， 10462   臺 灣   中山 區 臺 北   樂群 三路 299 號 6 樓   6 樓 ， 評分   4.5   ， 價位   NT $ 2 , 200   -   NT $ 5 , 500   菜系   法式 料理 ,   歐式 料理 ,   現代 創意 料理 ，"
49,春餘園子,春餘園子，251 臺灣 淡水新北 淡水區泉州厝36號，評分 4.5 ，菜系 中式料理，,春餘園子 ， 251   臺 灣   淡水 新北   淡水 區 泉州 厝 36 號 ， 評分   4.5   ， 菜系   中式 料理 ，
50,Silk Valley,"Silk Valley，臺灣 士林臺北 No. 46, Ln. 500, Yonggong Rd., Shilin Dist，評分 4.5 ，菜系 中式料理 餐點 晚餐 特色 預訂，","Silk   Valley ， 臺 灣   士林 臺 北   No .   46 ,   Ln .   500 ,   Yonggong   Rd . ,   Shilin   Dist ， 評分   4.5   ， 菜系   中式 料理   餐點   晚餐   特色   預訂 ，"
51,大戶屋 忠孝復興店,大戶屋 忠孝復興店，臺灣 中正區臺北 大安區忠孝東路四段52號2樓，評分 4.5 ，特色 預訂，,大戶 屋   忠孝 復 興店 ， 臺 灣   中正 區 臺 北   大安 區 忠孝 東路 四段 52 號 2 樓 ， 評分   4.5   ， 特色   預訂 ，
52,焙窩手工甜點,"焙窩手工甜點，10462 臺灣 中山區臺北 明水路672巷38號1樓 中山區，評分 4.0 ，餐點 午餐, 晚餐，","焙窩 手工 甜點 ， 10462   臺 灣   中山 區 臺 北   明 水路 672 巷 38 號 1 樓   中山 區 ， 評分   4.0   ， 餐點   午餐 ,   晚餐 ，"
53,Wood pot,"Wood pot，111 臺灣 士林臺北 天母北路68-1號 1樓，評分 4.5 ，菜系 義式料理, 咖啡廳, 多國料理，","Wood   pot ， 111   臺 灣   士林 臺 北   天母 北路 68 - 1 號   1 樓 ， 評分   4.5   ， 菜系   義式 料理 ,   咖啡 廳 ,   多國 料理 ，"
54,瓦薩比薩 - 內科店,"瓦薩比薩 - 內科店，臺灣 內湖臺北 No.183 Zhouzi St., Neihu District，評分 3.5 ，菜系 義式料理, 披薩 餐點 晚餐，","瓦薩比薩   -   內科店 ， 臺 灣   內湖 臺 北   No.183   Zhouzi   St . ,   Neihu   District ， 評分   3.5   ， 菜系   義式 料理 ,   披薩   餐點   晚餐 ，"
55,統生客家小館,"統生客家小館，臺灣 中山區臺北 中山區北安路458巷41弄43號，評分 4.0 ，菜系 亞洲料理, 台灣小吃/台菜，","統生 客家 小館 ， 臺 灣   中山 區 臺 北   中山 區 北安路 458 巷 41 弄 43 號 ， 評分   4.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
56,Tainan Tan-Tsu-Mien,"Tainan Tan-Tsu-Mien，臺灣 士林臺北 No. 121, Jihe Rd., Shilin Dist，評分 4.0 ，，","Tainan   Tan - Tsu - Mien ， 臺 灣   士林 臺 北   No .   121 ,   Jihe   Rd . ,   Shilin   Dist ， 評分   4.0   ， ，"
57,The Lounge大廳酒吧-臺北六福萬怡酒店,"The Lounge大廳酒吧-臺北六福萬怡酒店，11561 臺灣 南港臺北 南港區忠孝東路七段359號7樓，評分 4.5 ，特別飲食限制 提供純素選擇 餐點 午餐, 晚餐 特色 預訂, 殘障通行設施，","The   Lounge 大廳 酒吧 - 臺 北六福 萬怡 酒店 ， 11561   臺 灣   南港 臺 北   南港 區 忠孝 東路 七段 359 號 7 樓 ， 評分   4.5   ， 特別 飲食 限制   提供 純素 選擇   餐點   午餐 ,   晚餐   特色   預訂 ,   殘障 通行 設施 ，"
58,古厝茶緣餐廳,古厝茶緣餐廳，臺灣 士林臺北 士林區東山路25巷81弄29號，評分 4.0 ，菜系 中式料理，,古厝 茶緣 餐廳 ， 臺 灣   士林 臺 北   士林 區東 山路 25 巷 81 弄 29 號 ， 評分   4.0   ， 菜系   中式 料理 ，
59,Doggy & Yummy,"Doggy & Yummy，臺灣 臺北 59 Chungshan N Rd, sec.7 Tianmu，評分 4.5 ，餐點 早餐, 午餐，","Doggy   &   Yummy ， 臺 灣   臺 北   59   Chungshan   N   Rd ,   sec.7   Tianmu ， 評分   4.5   ， 餐點   早餐 ,   午餐 ，"
